               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099828,            0.031113,                   0,             0.18703,              0.1519,            0.087798,            0.032994,            0.079962,            0.017202,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.068302,            0.027699,                   0,             0.25075,             0.26547,             0.15474,            0.050124,            0.068369,            0.015151,                   0,            0.040535,           0.0065347,           0.0065347
                   2,            0.059647,            0.023897,                   0,             0.37112,             0.28692,             0.21614,            0.075315,            0.062945,            0.014146,                   0,            0.010403,           0.0097367,           0.0097367
                   3,            0.053444,            0.024208,                   0,             0.45052,             0.27426,             0.28446,             0.10808,            0.065477,              0.0146,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048969,            0.022337,                   0,             0.44538,             0.31646,             0.31335,             0.11812,            0.058239,            0.015269,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.046642,            0.021495,                   0,             0.66009,             0.44726,             0.48758,             0.21763,             0.05335,            0.014305,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044666,             0.02211,                   0,             0.72181,             0.46414,             0.54809,             0.23977,            0.047997,            0.013724,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042123,            0.021084,                   0,              0.7314,             0.46835,              0.5449,             0.27996,             0.04895,            0.013585,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041857,            0.021562,                   0,             0.69905,             0.52743,             0.60881,             0.26068,             0.04808,            0.013769,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040298,            0.020034,                   0,             0.58952,             0.52321,             0.52709,             0.25353,            0.048664,            0.013356,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.038619,            0.020032,                   0,             0.59044,             0.47679,             0.51078,              0.2273,            0.051799,            0.013819,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.037969,            0.019245,                   0,             0.78853,             0.56118,             0.65586,             0.34523,            0.044644,            0.012974,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036507,            0.019308,                   0,             0.75657,             0.53768,             0.59554,             0.27806,            0.045097,            0.013254,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.036537,            0.019372,                   0,             0.67323,             0.59494,             0.62586,             0.30773,            0.047781,            0.013182,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03774,            0.018881,                   0,             0.65504,              0.5929,             0.60006,             0.29333,            0.045799,            0.013399,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.03582,            0.018488,                   0,             0.62884,             0.47897,             0.51241,             0.26311,            0.046705,            0.013992,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.034353,            0.017813,                   0,              0.6373,             0.64557,              0.6261,             0.31157,            0.044317,            0.013478,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034906,            0.018601,                   0,             0.81865,              0.5865,             0.67865,             0.36073,            0.045456,            0.012718,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033438,            0.017893,                   0,             0.75127,             0.56075,             0.62554,             0.33145,            0.046876,            0.013311,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.03366,            0.017514,                   0,             0.78061,             0.62869,             0.67924,             0.35591,             0.04258,            0.013068,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.033036,            0.017462,                   0,             0.75827,             0.63533,             0.68606,             0.35666,            0.042787,            0.012552,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.032804,            0.017294,                   0,             0.63836,             0.63308,             0.64577,              0.3599,            0.043954,             0.01242,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.032479,            0.017451,                   0,             0.70203,             0.64619,             0.67774,             0.34144,            0.042785,             0.01309,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031647,            0.017337,                   0,             0.82995,              0.5443,             0.65783,             0.34066,            0.045283,            0.012434,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031289,            0.016667,                   0,             0.77461,             0.59494,             0.67154,             0.36655,            0.044409,            0.012677,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.030316,            0.016413,                   0,             0.82608,             0.61603,             0.66252,              0.3575,            0.043569,            0.012898,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.030589,            0.016272,                   0,             0.84972,             0.61603,             0.70721,             0.37981,            0.042265,            0.012277,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.030195,             0.01587,                   0,             0.80019,             0.60832,             0.68886,              0.3566,            0.043925,            0.012379,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.029351,            0.015672,                   0,             0.78053,             0.64557,              0.6951,             0.35897,            0.042618,            0.012634,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030013,            0.015859,                   0,             0.78239,             0.59166,             0.68958,             0.35396,             0.04467,            0.012922,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.028161,            0.015541,                   0,             0.76601,             0.69198,             0.73101,             0.39473,            0.041768,            0.012544,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.028457,            0.015662,                   0,             0.81913,             0.64557,             0.73045,             0.38373,            0.042598,            0.012125,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.027747,            0.014899,                   0,             0.75705,              0.6837,             0.71803,             0.37503,            0.042325,            0.012132,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.028957,            0.014808,                   0,             0.83052,             0.57894,             0.68803,             0.36997,            0.043477,            0.012824,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.027843,            0.015033,                   0,             0.79186,             0.64211,             0.70439,             0.37221,            0.042138,            0.012407,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028479,            0.015041,                   0,             0.82125,              0.6591,             0.72127,             0.40602,            0.041929,            0.012361,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027501,            0.014636,                   0,             0.84579,              0.5865,             0.69119,             0.38522,            0.042255,            0.012906,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.027382,            0.015015,                   0,             0.81824,             0.64583,             0.70207,              0.3874,            0.042644,            0.012283,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.027648,            0.014842,                   0,             0.77825,             0.67932,             0.70451,             0.37927,            0.041969,            0.013065,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027145,            0.014916,                   0,             0.74935,             0.64979,             0.69712,             0.39562,            0.042213,            0.012498,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026256,            0.014247,                   0,             0.87035,             0.62315,             0.70623,             0.40469,            0.043262,            0.012011,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026332,             0.01392,                   0,             0.83743,             0.60338,             0.69764,             0.39985,             0.04318,            0.012633,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026446,            0.013399,                   0,             0.78292,              0.6848,             0.73178,             0.41314,            0.040894,            0.012238,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026413,            0.013687,                   0,             0.79024,             0.66765,             0.74187,              0.4143,            0.041292,            0.012177,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025827,            0.014055,                   0,             0.81972,             0.65401,             0.74127,             0.41528,            0.041902,            0.012047,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026314,            0.013829,                   0,             0.76911,             0.67464,             0.72779,             0.40219,            0.042003,            0.012132,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024989,            0.013951,                   0,             0.76495,             0.60759,             0.69455,             0.38355,            0.043201,            0.012811,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024724,            0.013596,                   0,             0.82386,             0.68776,             0.73428,             0.40753,              0.0418,            0.011971,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024436,            0.013445,                   0,             0.79651,             0.71018,             0.75602,             0.41945,             0.04186,            0.011763,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024842,            0.013998,                   0,             0.82112,             0.67789,             0.73883,              0.4089,            0.042916,            0.012762,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024503,            0.012954,                   0,             0.85279,              0.6111,             0.69955,             0.39887,            0.043189,            0.013315,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023519,            0.013084,                   0,             0.80379,             0.67511,             0.73068,             0.41111,             0.04255,            0.012298,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024164,            0.013559,                   0,             0.85874,             0.64135,             0.72604,             0.42282,            0.043581,            0.012443,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024206,            0.013266,                   0,             0.81124,             0.68911,             0.73706,             0.42006,            0.042218,            0.012583,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023724,            0.012675,                   0,              0.8013,             0.72152,             0.74716,             0.41817,            0.042712,            0.011537,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023312,            0.013254,                   0,             0.84856,             0.67089,             0.76481,             0.45198,            0.042047,            0.011866,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023104,            0.012878,                   0,              0.8143,             0.62869,             0.71815,             0.42127,            0.042814,            0.012951,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023325,            0.013055,                   0,             0.85575,             0.65084,             0.72594,             0.41861,            0.043896,            0.012933,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022705,             0.01258,                   0,             0.83536,             0.69198,             0.72978,             0.41878,            0.043687,            0.013196,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023394,            0.013064,                   0,              0.7726,             0.72152,             0.73693,             0.41935,            0.042751,            0.012389,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022595,            0.012579,                   0,             0.83484,             0.66245,             0.71812,             0.41336,            0.041531,            0.013817,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022443,            0.012349,                   0,               0.883,             0.66245,             0.73495,             0.43214,            0.041765,            0.012712,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022958,            0.012812,                   0,             0.81846,             0.68482,             0.72542,              0.4278,            0.043323,            0.012776,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02216,            0.013041,                   0,             0.82788,             0.71034,             0.75282,             0.44062,            0.041985,            0.012456,                   0,            0.003862,            0.003862,            0.003862
