               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10593,            0.039874,                   0,             0.11741,             0.16602,            0.097934,            0.023768,            0.066726,            0.026263,                   0,              0.0739,              0.0029,              0.0029
                   1,             0.07549,            0.035562,                   0,             0.22162,             0.48649,             0.21613,            0.063126,             0.06663,            0.021454,                   0,            0.046842,           0.0058416,           0.0058416
                   2,            0.070848,            0.029305,                   0,             0.18604,             0.67181,              0.1692,            0.053038,            0.066613,            0.017248,                   0,            0.019724,           0.0087238,           0.0087238
                   3,            0.063645,             0.02949,                   0,             0.37357,             0.62934,             0.49907,             0.15435,            0.061798,            0.018511,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.061579,            0.026939,                   0,             0.12823,             0.44788,             0.12104,            0.031012,            0.067948,            0.019321,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.055186,            0.024162,                   0,             0.29823,             0.65632,              0.3503,            0.087542,            0.057645,            0.021289,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.049801,            0.023419,                   0,             0.44692,             0.46332,             0.41172,             0.13567,            0.055738,            0.020936,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.046963,            0.021818,                   0,             0.69995,             0.48649,             0.63865,             0.18526,            0.058613,            0.018969,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.044764,            0.019375,                   0,             0.43069,             0.68726,             0.52493,             0.19473,            0.053632,            0.021081,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.044281,            0.021668,                   0,             0.69483,             0.57915,             0.70519,             0.24483,            0.056519,            0.019137,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040037,            0.019158,                   0,             0.61401,             0.48521,             0.57413,             0.19422,            0.056591,             0.02236,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038576,            0.019767,                   0,             0.47534,             0.49807,             0.45248,             0.11382,            0.056404,            0.024982,                   0,             0.00901,             0.00901,             0.00901
